mysql> SELECT * FROM MenuPageClean WHERE menu_id NOT IN (SELECT id FROM menuclean);
+-------+---------+-------------+-----------------+-------------+------------+
| id    | menu_id | page_number | image_id        | full_height | full_width |
|   739 |   12649 |           3 | 4000008401      |        1947 |       1331 |
|   740 |   12649 |           4 | 4000008402      |        1947 |       1357 |
|   741 |   12649 |           1 | 466412          |        1955 |       1349 |
|   742 |   12650 |           2 | 4000008403      |        3344 |       2196 |
|   743 |   12650 |           1 | 466413          |        3326 |       2220 |
|   744 |   12651 |           2 | 4000008406      |        3268 |       2162 |
|   745 |   12651 |           1 | 466418          |        3351 |       2280 |
|   746 |   12652 |           2 | 4000008407      |        3345 |       2229 |
|   747 |   12652 |           1 | 466419          |        3388 |       2229 |
|   748 |   12653 |           2 | 4000008408      |        3299 |       2132 |
|   749 |   12653 |           1 | 466420          |        3310 |       2170 |
|   750 |   12654 |           2 | 4000008637      |        3172 |       2213 |
|   751 |   12654 |           1 | 466586          |        3215 |       2244 |
|   752 |   12655 |           2 | 4000008638      |        3177 |       2369 |
|   753 |   12655 |           1 | 466588          |        3150 |       2372 |
|   754 |   12656 |           2 | 4000008639      |        2515 |       1815 |
|   755 |   12656 |           1 | 466589          |        2489 |       1822 |
|   756 |   12657 |           2 | 4000008640      |        1861 |       2742 |
|   757 |   12657 |           1 | 466590          |        2728 |       1857 |
|   758 |   12658 |           2 | 4000008904      |        3293 |       2076 |
|   759 |   12658 |           1 | 466764          |        3321 |       2112 |
|   780 |   12662 |           2 | 4000008932      |        2979 |       1366 |
|   781 |   12662 |           3 | 4000008933      |        3034 |       1408 |
|   782 |   12662 |           4 | 4000008934      |        3007 |       1468 |
|   783 |   12662 |           1 | 466776          |        3035 |       1498 |
|   784 |   12663 |           2 | 4000008937      |        2538 |       1882 |
|   785 |   12663 |           3 | 4000008938      |        2517 |       1846 |
|   786 |   12663 |           4 | 4000008939      |        2531 |       1945 |
|   787 |   12663 |           1 | 466777          |        2517 |       1929 |
|   788 |   12664 |           2 | 4000008940      |        2723 |       1950 |
|   789 |   12664 |           1 | 466778          |        2732 |       1965 |
|   790 |   12665 |           2 | 4000008941      |        4274 |       1718 |
|   791 |   12665 |           3 | 4000008942      |        4331 |       1768 |
|   792 |   12665 |           4 | 4000008943      |        4316 |       1867 |
|   793 |   12665 |           1 | 466779          |        4330 |       1855 |
|   794 |   12666 |           2 | 4000014000      |        3095 |       3094 |
|   795 |   12666 |           3 | 4000014001      |        3117 |       3073 |
|   796 |   12666 |           4 | 4000014002      |        3095 |       3103 |
|   797 |   12666 |           1 | 471651          |        3073 |       3095 |
|   806 |   12668 |           2 | 4000014010      |        3821 |       2481 |
|   807 |   12668 |           3 | 4000014011      |        3809 |       2497 |
|   808 |   12668 |           4 | 4000014012      |        3855 |       2637 |
|   809 |   12668 |           1 | 471653          |        3855 |       2644 |
|   810 |   12669 |           2 | 4000014017      |        2927 |       2317 |
|   811 |   12669 |           1 | 471656          |        2948 |       2294 |
|   812 |   12670 |           2 | 4000014018      |        3535 |       2307 |
|   813 |   12670 |           1 | 471657          |        3528 |       2332 |
|   814 |   12671 |           2 | 4000014020      |        3426 |       2304 |
|   815 |   12671 |           1 | 471667          |        3383 |       2257 |
|   816 |   12672 |           2 | 4000014021      |        2820 |       1865 |
|   817 |   12672 |           1 | 471668          |        2828 |       1867 |
|   818 |   12673 |           2 | 4000014022      |        2939 |       2298 |
|   819 |   12673 |           1 | 471669          |        2930 |       2308 |
|   820 |   12674 |           2 | 4000010545      |        3078 |       1938 |
|   821 |   12674 |           1 | 468673          |        3081 |       1956 |
|   822 |   12675 |           2 | 4000010548      |        2925 |       1889 |
|   823 |   12675 |           1 | 468676          |        2940 |       1945 |
|   830 |   12678 |           2 | 4000008410      |        3671 |       2358 |
|   831 |   12678 |           1 | 466422          |        3595 |       2356 |
|   862 |   12686 |           2 | 4000009678      |        1911 |       1330 |
|   863 |   12686 |           1 | 467218          |        1934 |       1300 |
|   866 |   12688 |           2 | 4000009681      |        3211 |       2021 |
|   867 |   12688 |           1 | 467221          |        3190 |       1998 |
|   868 |   12689 |           2 | 4000008650      |        2629 |       1821 |
|   869 |   12689 |           1 | 466597          |        2600 |       1811 |
|   875 |   12692 |           2 | 4000008655      |        2883 |       2025 |
|   876 |   12692 |           1 | 466601          |        2864 |       2418 |
|   881 |   12694 |           2 | 4000008660      |        3512 |       2334 |
|   882 |   12694 |           1 | 466614          |        3508 |       2317 |
|   883 |   12695 |           2 | 4000008944      |        4592 |       2990 |
|   884 |   12695 |           1 | 466780          |        4592 |       2978 |
|   885 |   12696 |           2 | 4000008945      |        2905 |       1855 |
|   886 |   12696 |           1 | 466781          |        2901 |       1846 |
|   887 |   12697 |           2 | 4000008947      |        2910 |       2116 |
|   888 |   12697 |           1 | 466783          |        2884 |       2083 |
|   889 |   12698 |           2 | 4000008948      |        3299 |       2087 |
|   890 |   12698 |           1 | 466784          |        3291 |       2088 |
|   951 |   12721 |           2 | 4000011460      |        3474 |       2282 |
|   952 |   12721 |           1 | 476163          |        3482 |       2295 |
